datetime,event,details
1946-01-03T12:29:23Z,Solar Eclipse (Not visible),
1946-05-30T20:49:05Z,Solar Eclipse (Not visible),
1946-06-14T18:38:35Z,Lunar Eclipse (Not visible),
1946-06-29T04:05:27Z,Solar Eclipse (Not visible),
1946-11-23T18:18:02Z,Solar Eclipse (Partial),"Begin: 17:30, Max: 18:18, End: 19:03, Mag: 0.337"
1946-12-08T17:47:46Z,Lunar Eclipse (Partial),"Begin: 16:25, Max: 17:48, End: 19:10, Mag: 0.99"
1947-05-20T13:43:25Z,Solar Eclipse (Not visible),
1947-06-03T19:15:01Z,Lunar Eclipse (Partial),"Begin: 18:53, Max: 19:15, End: 19:37, Mag: 0.03"
1947-11-12T20:23:29Z,Solar Eclipse (Partial),"Begin: 19:37, Max: 20:23, End: 21:09, Mag: 0.552"
1948-05-09T02:29:54Z,Solar Eclipse (Not visible),
1948-11-01T06:02:19Z,Solar Eclipse (Not visible),
1949-03-29T15:10:24Z,Solar Eclipse (Not visible),
1949-04-13T04:10:43Z,Lunar Eclipse (Not visible),
1949-04-28T07:11:43Z,Solar Eclipse (Partial),"Begin: 06:25, Max: 07:12, End: 08:02, Mag: 0.220"
1949-09-22T12:20:44Z,Solar Eclipse (Not visible),
1949-10-07T02:56:13Z,Lunar Eclipse (Total),"Begin: 01:02, Max: 02:56, End: 04:51, Mag: 1.19"
1949-10-21T21:22:34Z,Solar Eclipse (Not visible),
1950-03-18T15:19:48Z,Solar Eclipse (Not visible),
1950-04-02T20:43:52Z,Lunar Eclipse (Partial),"Begin: 19:24, Max: 20:44, End: 22:04, Mag: 0.85"
1950-09-12T02:04:10Z,Solar Eclipse (Partial),"Begin: 01:40, Max: 02:04, End: 02:29, Mag: 0.131"
1950-09-26T04:16:29Z,Lunar Eclipse (Total),"Begin: 02:33, Max: 04:16, End: 06:00, Mag: 1.02"
1951-03-07T20:50:18Z,Solar Eclipse (Not visible),
1951-09-01T12:49:22Z,Solar Eclipse (Not visible),
1952-02-11T00:39:06Z,Lunar Eclipse (Partial),"Begin: 23:57, Max: 00:39, End: 01:21, Mag: 0.11"
1952-02-25T09:34:27Z,Solar Eclipse (Partial),"Begin: 08:41, Max: 09:34, End: 10:29, Mag: 0.299"
1952-08-05T19:47:13Z,Lunar Eclipse (Partial),"Begin: 18:56, Max: 19:47, End: 20:38, Mag: 0.30"
1952-08-20T15:20:08Z,Solar Eclipse (Not visible),
1953-01-15T14:08:05Z,Solar Eclipse (Not visible),
1953-01-29T23:47:06Z,Lunar Eclipse (Total),"Begin: 21:52, Max: 23:47, End: 01:42, Mag: 1.30"
1953-02-14T00:58:07Z,Solar Eclipse (Partial),"Begin: 00:35, Max: 00:58, End: 01:21, Mag: 0.139"
1953-07-11T02:27:55Z,Solar Eclipse (Not visible),
