datetime,event,details
2075-01-16T18:37:50Z,Solar Eclipse (Not visible),
2075-06-28T09:54:26Z,Lunar Eclipse (Not visible),
2075-07-13T04:40:08Z,Solar Eclipse (Annular),"Begin: 03:37, Max: 04:40, End: 05:49, Mag: 0.963"
2075-12-22T08:54:46Z,Lunar Eclipse (Not visible),
2076-01-06T10:15:43Z,Solar Eclipse (Not visible),
2076-06-01T17:15:01Z,Solar Eclipse (Not visible),
2076-06-17T02:38:37Z,Lunar Eclipse (Total),"Begin: 01:03, Max: 02:39, End: 04:14, Mag: 1.66"
2076-07-01T07:05:36Z,Solar Eclipse (Not visible),
2076-11-26T11:35:32Z,Solar Eclipse (Partial),"Begin: 10:15, Max: 11:36, End: 12:55, Mag: 0.620"
2076-12-10T11:33:42Z,Lunar Eclipse (Not visible),
2077-05-22T02:38:54Z,Solar Eclipse (Not visible),
2077-06-06T14:58:43Z,Lunar Eclipse (Not visible),
2077-11-15T17:56:06Z,Solar Eclipse (Partial),"Begin: 17:04, Max: 17:56, End: 18:45, Mag: 0.414"
2077-11-29T21:34:43Z,Lunar Eclipse (Partial),"Begin: 21:11, Max: 21:35, End: 21:58, Mag: 0.05"
2078-05-11T19:12:34Z,Solar Eclipse (Partial),"Begin: 18:41, Max: 19:13, End: 19:43, Mag: 0.250"
2078-11-04T16:57:20Z,Solar Eclipse (Not visible),
2079-04-16T05:09:36Z,Lunar Eclipse (Not visible),
2079-05-01T11:12:29Z,Solar Eclipse (Partial),"Begin: 10:35, Max: 11:12, End: 11:50, Mag: 0.132"
2079-10-10T17:29:21Z,Lunar Eclipse (Partial),"Begin: 16:00, Max: 17:29, End: 18:59, Mag: 0.95"
2079-10-24T18:20:46Z,Solar Eclipse (Not visible),
2080-03-21T12:07:18Z,Solar Eclipse (Not visible),
2080-04-04T11:22:29Z,Lunar Eclipse (Not visible),
2080-09-13T17:01:54Z,Solar Eclipse (Partial),"Begin: 16:07, Max: 17:02, End: 17:54, Mag: 0.821"
2080-09-29T01:51:32Z,Lunar Eclipse (Total),"Begin: 00:05, Max: 01:52, End: 03:38, Mag: 1.18"
2080-10-13T02:45:12Z,Solar Eclipse (Not visible),
2081-03-10T15:17:59Z,Solar Eclipse (Not visible),
2081-09-03T07:52:09Z,Solar Eclipse (Partial),"Begin: 06:46, Max: 07:52, End: 09:02, Mag: 0.966"
2082-02-27T16:36:51Z,Solar Eclipse (Annular),"Begin: 15:26, Max: 16:37, End: 17:42, Mag: 0.954"
2082-08-24T01:19:22Z,Solar Eclipse (Not visible),
2083-02-02T18:25:36Z,Lunar Eclipse (Total),"Begin: 16:48, Max: 18:26, End: 20:03, Mag: 1.11"
2083-02-16T18:16:46Z,Solar Eclipse (Not visible),
2083-07-14T23:55:54Z,Solar Eclipse (Not visible),
2083-07-29T01:04:25Z,Lunar Eclipse (Total),"Begin: 23:29, Max: 01:04, End: 02:40, Mag: 1.34"
2083-08-13T12:46:34Z,Solar Eclipse (Not visible),
2084-01-07T17:18:30Z,Solar Eclipse (Not visible),
2084-01-22T23:11:51Z,Lunar Eclipse (Total),"Begin: 21:23, Max: 23:12, End: 01:01, Mag: 1.12"
2084-07-03T00:49:26Z,Solar Eclipse (Annular),"Begin: 23:58, Max: 00:49, End: 01:42, Mag: 0.961"
2084-07-17T16:57:42Z,Lunar Eclipse (Not visible),
2084-12-27T09:08:26Z,Solar Eclipse (Not visible),
2085-06-22T03:19:35Z,Solar Eclipse (Not visible),
2085-12-16T22:39:35Z,Solar Eclipse (Partial),"Begin: 21:55, Max: 22:40, End: 23:24, Mag: 0.761"
2086-05-28T12:42:37Z,Lunar Eclipse (Not visible),
2086-06-11T11:13:51Z,Solar Eclipse (Not visible),
2086-11-20T20:18:33Z,Lunar Eclipse (Partial),"Begin: 18:58, Max: 20:19, End: 21:39, Mag: 0.82"
2086-12-06T04:23:42Z,Solar Eclipse (Partial),"Begin: 03:36, Max: 04:24, End: 05:14, Mag: 0.337"
2087-05-02T19:17:56Z,Solar Eclipse (Partial),"Begin: 18:49, Max: 19:18, End: 19:46, Mag: 0.212"
2087-05-17T15:54:11Z,Lunar Eclipse (Not visible),
2087-06-01T01:40:08Z,Solar Eclipse (Not visible),
2087-10-26T11:30:50Z,Solar Eclipse (Not visible),
2087-11-10T12:04:24Z,Lunar Eclipse (Not visible),
2087-11-25T06:25:08Z,Solar Eclipse (Not visible),
2088-04-21T10:49:05Z,Solar Eclipse (Partial),"Begin: 09:33, Max: 10:49, End: 12:05, Mag: 0.759"
2088-05-05T16:15:41Z,Lunar Eclipse (Not visible),
2088-10-14T14:40:56Z,Solar Eclipse (Not visible),
2088-10-30T03:02:11Z,Lunar Eclipse (Partial),"Begin: 02:55, Max: 03:02, End: 03:10, Mag: 0.01"
2089-04-10T22:47:12Z,Solar Eclipse (Not visible),
2089-10-04T00:23:01Z,Solar Eclipse (Partial),"Begin: 23:48, Max: 00:23, End: 00:59, Mag: 0.371"
2090-03-15T23:47:22Z,Lunar Eclipse (Total),"Begin: 22:23, Max: 23:47, End: 01:12, Mag: 1.03"
2090-03-31T03:49:43Z,Solar Eclipse (Not visible),
2090-09-08T22:51:20Z,Lunar Eclipse (Total),"Begin: 21:02, Max: 22:51, End: 00:41, Mag: 1.01"
2090-09-23T17:36:19Z,Solar Eclipse (Partial),"Begin: 16:44, Max: 17:36, End: 18:26, Mag: 0.988"
2091-02-18T09:54:31Z,Solar Eclipse (Partial),"Begin: 08:36, Max: 09:55, End: 11:16, Mag: 0.434"
2091-03-05T15:57:13Z,Lunar Eclipse (Not visible),
2091-08-15T00:23:33Z,Solar Eclipse (Not visible),
2091-08-29T00:37:16Z,Lunar Eclipse (Total),"Begin: 22:51, Max: 00:37, End: 02:24, Mag: 1.17"
2092-02-07T16:40:13Z,Solar Eclipse (Partial),"Begin: 15:38, Max: 16:40, End: 17:38, Mag: 0.755"
2092-08-03T09:56:03Z,Solar Eclipse (Not visible),
2093-01-27T03:23:57Z,Solar Eclipse (Not visible),
2093-07-08T17:23:09Z,Lunar Eclipse (Not visible),
2093-07-23T13:09:15Z,Solar Eclipse (Partial),"Begin: 11:33, Max: 13:09, End: 14:35, Mag: 0.925"
2094-01-01T16:58:57Z,Lunar Eclipse (Partial),"Begin: 15:16, Max: 16:59, End: 18:42, Mag: 0.88"
2094-01-16T19:07:17Z,Solar Eclipse (Not visible),
2094-06-13T00:05:12Z,Solar Eclipse (Not visible),
2094-06-28T10:00:47Z,Lunar Eclipse (Not visible),
2094-07-12T13:38:30Z,Solar Eclipse (Not visible),
2094-12-07T19:52:12Z,Solar Eclipse (Not visible),
2094-12-21T19:55:23Z,Lunar Eclipse (Total),"Begin: 18:09, Max: 19:55, End: 21:41, Mag: 1.38"
2095-06-02T09:59:48Z,Solar Eclipse (Not visible),
2095-06-17T21:59:01Z,Lunar Eclipse (Partial),"Begin: 20:54, Max: 21:59, End: 23:04, Mag: 0.35"
2095-11-27T00:13:35Z,Solar Eclipse (Partial),"Begin: 23:24, Max: 00:14, End: 01:04, Mag: 0.746"
2095-12-11T06:13:53Z,Lunar Eclipse (Partial),"Begin: 05:47, Max: 06:14, End: 06:41, Mag: 0.07"
2096-05-22T01:37:18Z,Solar Eclipse (Not visible),
2096-11-15T00:37:32Z,Solar Eclipse (Not visible),
2097-04-26T12:17:08Z,Lunar Eclipse (Not visible),
2097-05-11T19:51:26Z,Solar Eclipse (Partial),"Begin: 19:08, Max: 19:51, End: 20:33, Mag: 0.613"
2097-10-21T01:29:46Z,Lunar Eclipse (Partial),"Begin: 00:02, Max: 01:30, End: 02:57, Mag: 0.88"
2097-11-04T02:10:27Z,Solar Eclipse (Not visible),
2098-04-01T19:49:04Z,Solar Eclipse (Not visible),
2098-04-15T19:03:39Z,Lunar Eclipse (Total),"Begin: 17:24, Max: 19:04, End: 20:44, Mag: 1.33"
2098-05-01T08:33:48Z,Solar Eclipse (Not visible),
2098-09-25T00:18:53Z,Solar Eclipse (Not visible),
2098-10-10T09:18:49Z,Lunar Eclipse (Not visible),
2098-10-24T10:50:56Z,Solar Eclipse (Not visible),
2099-03-21T22:48:35Z,Solar Eclipse (Not visible),
2099-09-14T16:52:44Z,Solar Eclipse (Not visible),
2100-03-10T22:59:56Z,Solar Eclipse (Partial),"Begin: 22:16, Max: 23:00, End: 23:44, Mag: 0.448"
2100-09-04T08:51:44Z,Solar Eclipse (Not visible),
