datetime,event,details
2056-01-04T03:44:14Z,Earth Perihelion,147092259.55 km
2056-07-06T08:54:22Z,Earth Aphelion,152097741.52 km
2057-01-03T03:10:52Z,Earth Perihelion,147103595.32 km
2057-07-04T16:41:22Z,Earth Aphelion,152096291.11 km
2058-01-05T04:00:38Z,Earth Perihelion,147103798.75 km
2058-07-05T15:42:43Z,Earth Aphelion,152087522.15 km
2059-01-03T10:44:22Z,Earth Perihelion,147101460.29 km
2059-07-06T21:25:34Z,Earth Aphelion,152098747.49 km
2060-01-04T22:56:46Z,Earth Perihelion,147106697.91 km
2060-07-03T22:59:13Z,Earth Aphelion,152092778.81 km
2061-01-04T07:33:22Z,Earth Perihelion,147099885.18 km
2061-07-06T07:19:58Z,Earth Aphelion,152085324.76 km
2062-01-02T21:16:29Z,Earth Perihelion,147105285.88 km
2062-07-05T23:47:38Z,Earth Aphelion,152095161.62 km
2063-01-05T13:41:41Z,Earth Perihelion,147106413.36 km
2063-07-04T15:21:26Z,Earth Aphelion,152092648.68 km
2064-01-04T11:54:34Z,Earth Perihelion,147097292.28 km
2064-07-06T10:56:18Z,Earth Aphelion,152095701.81 km
2065-01-02T15:10:33Z,Earth Perihelion,147105217.67 km
2065-07-05T01:37:52Z,Earth Aphelion,152096944.01 km
2066-01-05T05:45:57Z,Earth Perihelion,147102212.09 km
2066-07-05T01:43:41Z,Earth Aphelion,152088696.81 km
2067-01-03T17:05:50Z,Earth Perihelion,147093334.35 km
2067-07-07T03:13:50Z,Earth Aphelion,152100225.96 km
2068-01-04T14:29:34Z,Earth Perihelion,147101151.25 km
2068-07-04T04:07:07Z,Earth Aphelion,152097894.47 km
2069-01-04T18:25:33Z,Earth Perihelion,147098416.10 km
2069-07-05T23:15:57Z,Earth Aphelion,152088942.69 km
2070-01-03T02:51:02Z,Earth Perihelion,147105562.30 km
2070-07-06T12:01:37Z,Earth Aphelion,152097301.63 km
2071-01-05T09:44:46Z,Earth Perihelion,147109986.88 km
2071-07-04T20:40:59Z,Earth Aphelion,152092085.38 km
2072-01-04T21:02:40Z,Earth Perihelion,147099151.64 km
2072-07-06T13:27:00Z,Earth Aphelion,152089032.64 km
2073-01-02T14:41:49Z,Earth Perihelion,147105901.67 km
2073-07-05T10:53:19Z,Earth Aphelion,152090733.18 km
2074-01-05T11:25:29Z,Earth Perihelion,147107651.09 km
2074-07-04T14:25:26Z,Earth Aphelion,152084756.14 km
2075-01-04T02:14:15Z,Earth Perihelion,147099444.28 km
2075-07-07T06:43:20Z,Earth Aphelion,152095933.58 km
2076-01-03T23:33:42Z,Earth Perihelion,147106914.40 km
2076-07-04T11:19:32Z,Earth Aphelion,152097999.81 km
2077-01-04T20:53:09Z,Earth Perihelion,147102072.60 km
2077-07-05T10:10:32Z,Earth Aphelion,152088595.78 km
2078-01-03T04:23:45Z,Earth Perihelion,147100349.31 km
2078-07-06T19:39:35Z,Earth Aphelion,152098040.41 km
2079-01-05T00:15:09Z,Earth Perihelion,147102987.98 km
2079-07-04T21:26:46Z,Earth Aphelion,152097171.12 km
2080-01-05T07:55:36Z,Earth Perihelion,147092910.02 km
2080-07-06T06:41:13Z,Earth Aphelion,152093079.32 km
2081-01-02T18:57:02Z,Earth Perihelion,147101440.64 km
2081-07-05T21:26:39Z,Earth Aphelion,152096415.01 km
2082-01-05T13:52:05Z,Earth Perihelion,147108912.09 km
2082-07-04T16:22:32Z,Earth Aphelion,152089207.65 km
2083-01-04T11:28:13Z,Earth Perihelion,147100112.57 km
2083-07-07T15:14:18Z,Earth Aphelion,152093393.63 km
2084-01-03T16:50:02Z,Earth Perihelion,147105963.09 km
2084-07-04T22:43:33Z,Earth Aphelion,152093883.69 km
2085-01-05T04:33:34Z,Earth Perihelion,147104513.71 km
2085-07-04T21:35:00Z,Earth Aphelion,152083059.97 km
2086-01-03T15:22:28Z,Earth Perihelion,147103453.47 km
2086-07-07T01:40:09Z,Earth Aphelion,152092083.55 km
2087-01-04T16:38:56Z,Earth Perihelion,147110805.14 km
2087-07-05T02:06:17Z,Earth Aphelion,152095083.87 km
2088-01-05T15:00:07Z,Earth Perihelion,147101669.07 km
2088-07-05T22:11:43Z,Earth Aphelion,152089299.57 km
2089-01-02T17:02:05Z,Earth Perihelion,147104474.15 km
2089-07-06T07:15:57Z,Earth Aphelion,152093639.54 km
2090-01-05T04:45:30Z,Earth Perihelion,147109125.47 km
2090-07-04T15:09:20Z,Earth Aphelion,152089445.86 km
2091-01-04T19:23:01Z,Earth Perihelion,147094775.93 km
2091-07-07T12:55:27Z,Earth Aphelion,152093671.10 km
2092-01-03T15:30:17Z,Earth Perihelion,147100400.91 km
